OTUID	Intervals	Days
D20131008	0	1
D20131009	1	2
D20131010	1	3
D20131011	1	4
D20131015	4	8
D20131016	1	9
D20131017	1	10
D20131018	1	11
D20131021	3	14
D20131022	1	15
D20131023	1	16
D20131024	1	17
D20131025	1	18
D20131028	3	21
D20131029	1	22
D20131030	1	23
D20131031	1	24
D20131101	1	25
D20131104	3	28
D20131105	1	29
D20131106	1	30
D20131107	1	31
D20131108	1	32
D20131111	3	35
D20131112	1	36
D20131113	1	37
D20131114	1	38
D20131115	1	39
D20131118	3	42
D20131119	1	43
D20131120	1	44
D20131121	1	45
D20131122	1	46
D20131125	3	49
D20131126	1	50
D20131127	1	51
D20131128	1	52
D20131202	3	55
D20131203	1	56
D20131204	1	57
D20131205	1	58
D20131206	1	59
D20131208	2	61
D20131209	1	62
D20131210	1	63
D20131211	1	64
D20131212	1	65
D20131215	3	68
D20131216	1	69
D20131217	1	70
D20131218	1	71
D20131219	1	72
D20131220	1	73
D20131223	3	76
D20131224	1	77
D20131227	3	80
D20131230	3	83
D20131231	1	84
D20140102	2	86
D20140103	1	87
D20140106	3	90
D20140107	1	91
D20140108	1	92
D20140109	1	93
D20140110	1	94
D20140113	3	97
D20140114	1	98
D20140115	1	99
D20140116	1	100
D20140117	1	101
D20140120	3	104
D20140121	1	105
D20140122	1	106
D20140123	1	107
D20140124	1	108
D20140127	3	111
D20140128	1	112
D20140129	1	113
D20140130	1	114
D20140204	4	118
D20140205	1	119
D20140206	1	120
D20140207	1	121
D20140210	3	124
D20140211	1	125
D20140212	1	126
D20140213	1	127
D20140214	1	128
D20140217	3	131
D20140218	1	132
D20140219	1	133
D20140220	1	134
D20140221	1	135
D20140224	3	138
D20140225	1	139
D20140226	1	140
D20140227	1	141
D20140228	1	142
D20140303	3	145
D20140304	1	146
D20140305	1	147
D20140306	1	148
D20140307	1	149
D20140310	3	152
D20140311	1	153
D20140312	1	154
D20140313	1	155
D20140314	1	156
D20140317	3	159
D20140318	1	160
D20140319	1	161
D20140320	1	162
D20140321	1	163
D20140324	3	166
D20140325	1	167
D20140326	1	168
D20140327	1	169
D20140328	1	170
D20140331	3	173
D20140401	1	174
D20140402	1	175
D20140403	1	176
D20140404	1	177
D20140407	3	180
D20140408	1	181
D20140409	1	182
D20140410	1	183
D20140411	1	184
D20140414	3	187
D20140416	2	189
D20140417	1	190
D20140422	5	195
D20140423	1	196
D20140424	1	197
D20140425	1	198
D20140428	3	201
D20140429	1	202
D20140430	1	203
D20140502	2	205
D20140505	3	208
D20140507	2	210
D20140508	1	211
D20140512	4	215
D20140513	1	216
D20140514	1	217
D20140515	1	218
D20140516	1	219
D20140520	4	223
D20140521	1	224
D20140522	1	225
D20140523	1	226
D20140526	3	229
D20140527	1	230
D20140528	1	231
D20140529	1	232
D20140530	1	233
D20140603	4	237
D20140604	1	238
D20140605	1	239
D20140606	1	240
D20140609	3	243
D20140610	1	244
D20140611	1	245
D20140612	1	246
D20140613	1	247
D20140616	3	250
D20140617	1	251
D20140618	1	252
D20140619	1	253
D20140620	1	254
D20140623	3	257
D20140624	1	258
D20140625	1	259
D20140626	1	260
D20140627	1	261
D20140630	3	264
D20140702	2	266
D20140703	1	267
D20140704	1	268
D20140707	3	271
D20140708	1	272
D20140709	1	273
D20140710	1	274
D20140711	1	275
D20140714	3	278
D20140715	1	279
D20140716	1	280
D20140717	1	281
D20140718	1	282
D20140721	3	285
D20140722	1	286
D20140723	1	287
D20140724	1	288
D20140725	1	289
D20140728	3	292
D20140729	1	293
D20140730	1	294
D20140731	1	295
D20140801	1	296
D20140804	3	299
D20140805	1	300
D20140806	1	301
D20140807	1	302
D20140808	1	303
D20140811	3	306
D20140812	1	307
D20140813	1	308
D20140814	1	309
D20140815	1	310
D20140818	3	313
D20140819	1	314
D20140820	1	315
D20140821	1	316
D20140822	1	317
D20140825	3	320
D20140826	1	321
D20140827	1	322
D20140828	1	323
D20140829	1	324
D20140901	3	327
D20140902	1	328
D20140903	1	329
D20140904	1	330
D20140905	1	331
D20140908	3	334
D20140910	2	336
D20140911	1	337
D20140912	1	338
D20140915	3	341
D20140916	1	342
D20140917	1	343
D20140918	1	344
D20140919	1	345
D20140922	3	348
D20140923	1	349
D20140924	1	350
D20140925	1	351
D20140926	1	352
D20140929	3	355
D20140930	1	356
D20141003	3	359
D20141006	3	362
D20141007	1	363
D20141008	1	364
D20141009	1	365
D20141010	1	366
D20141013	3	369
D20141014	1	370
D20141015	1	371
D20141016	1	372
D20141017	1	373
D20141020	3	376
D20141021	3	379
D20141022	1	380
D20141023	1	381
D20141024	1	382
D20141027	3	385
D20141028	1	386
D20141029	1	387
D20141030	1	388
D20141031	1	389
D20141103	3	392
